route_short_name,n_paradas,crimes_medio,crimes_max,crimes_total,pct_sem_crime,price,crimes_dia_max,crimes_dia_min,crimes_dia_std,crimes_hora_max,crimes_hora_min,crimes_hora_std,nivel_perigo_score,cluster,perfil_risco,route_id,indicador_ar_condicionado,duracao_viagem,ano_fabricacao,crimes_pico_manha,crimes_pico_tarde,crimes_noturnos,crimes_fim_semana
0,21,3.29,9.0,69.0,33.33,6.501452282157676,18,2,5.33630869386231,8,0,2.21285768418007,0.48,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,7,13,25,11
006,49,5.81,21.0,1093.0,25.53,5.0,73,15,19.242809417694556,29,0,9.692276171844483,3.96,0,Médio Risco,O0006AAA0A,1.0,32.24,2018.0,54,65,121,40
007,58,5.87,21.0,1661.0,28.27,5.0,73,19,19.303342913056476,37,0,10.956352799479701,5.63,0,Médio Risco,O0007AAA0A,1.0,36.57,2017.65,60,70,134,44
10,213,0.88,5.0,971.0,77.03,5.0,48,10,14.360992139754662,30,0,8.933632106187027,3.8,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,2,58,45,52
100,119,2.5,10.0,1199.0,28.81,5.0,78,12,22.17892607645289,48,0,12.838390684284336,4.63,0,Médio Risco,O0100AAA0A,0.99,42.45,2016.18,58,102,78,61
104,265,3.31,20.0,5605.0,34.12,5.0,203,25,57.33444074235045,84,4,22.66709292011826,20.71,2,Alto Risco,O0104AAA0A,0.002,83.99,2010.02,107,255,240,157
107,91,2.48,8.0,586.0,28.81,5.0,62,12,18.910818269420485,51,0,12.194008388536977,3.11,0,Médio Risco,O0107AAA0A,0.031,40.58,2010.48,37,77,60,39
11,213,0.86,5.0,970.0,77.11,5.0,48,10,14.360992139754662,30,0,8.933632106187027,3.8,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,2,58,45,52
117,28,4.84,17.0,218.0,15.56,5.0,27,5,7.483314773547883,15,0,3.653219743288601,0.79,0,Médio Risco,O0117AAA0A,0.5,9.26,2014.0,34,14,39,39
12,165,0.91,5.0,251.0,75.0,5.0,43,2,14.461772268392872,22,0,6.854068927984692,2.29,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,34,45,31
13,146,1.06,5.0,512.0,69.71,5.0,40,2,13.212548148310702,22,0,6.763071080122004,2.04,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,34,45,31
133,77,5.71,18.0,1860.0,2.15,5.0,134,40,33.074950959183305,107,0,21.876464754272515,5.83,0,Médio Risco,O0133AAA0A,1.0,33.11,2016.96,23,171,92,88
14,171,1.25,7.0,1176.0,68.23,5.0,56,9,18.920887928424502,27,0,8.883199417105189,4.42,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,5,65,45,43
16,120,0.96,5.0,115.0,73.33,5.0,33,2,10.997835284835872,18,0,5.225182889802428,0.86,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,25,27,19
161,62,3.92,21.0,243.0,32.26,5.0,95,16,27.37221392650027,64,0,12.851366024499193,1.38,0,Médio Risco,O0161AAA0A,0.10300000000000001,44.92,2011.93,23,98,62,51
165,49,4.98,17.0,717.0,2.78,5.0,77,10,21.83923947742643,45,0,9.194752756919002,2.79,0,Médio Risco,O0165AAA0A,0.9,18.97,2014.9,26,80,48,49
167,80,2.44,8.0,528.0,29.63,5.0,52,8,14.057704208690962,30,0,9.115105316316221,2.36,0,Médio Risco,O0167AAA0A,0.018000000000000002,41.68,2010.39,14,68,47,36
169,87,2.25,10.0,238.0,34.91,5.0,58,1,18.79716290649558,34,0,9.397810414118288,1.63,0,Médio Risco,O0169AAA0A,0.5379999999999999,42.95,2014.08,26,57,48,38
17,123,1.84,7.0,840.0,60.96,5.0,55,12,15.04121322360983,33,0,9.921339174450836,3.55,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,7,74,61,77
18,157,0.91,5.0,577.0,72.9,5.0,29,12,6.852180744287248,20,0,6.714547261546099,1.56,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,41,30,28
19,111,0.84,5.0,553.0,75.53,5.0,33,0,13.199927849730665,20,0,6.405952847473823,2.0,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,33,8,10
20,159,0.81,5.0,564.0,78.37,5.0,38,10,11.397577019031802,24,0,8.571840483546245,2.37,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,2,57,8,31
201,61,9.95,26.0,1462.0,0.68,5.0,105,38,27.554275443896092,54,0,15.887284132332034,6.74,0,Médio Risco,O0201AAA0A,1.0,26.07,2016.0,110,102,174,143
202,88,6.51,26.0,2557.0,23.41,5.0,116,24,35.8322812691626,48,0,15.771925157963622,10.13,0,Médio Risco,O0202AAA0A,0.9890000000000001,30.07,2015.74,119,100,151,127
209,118,3.43,13.0,1631.0,24.0,5.0,118,34,31.503590120432154,65,0,17.52012300598736,6.78,0,Médio Risco,O0209AAA0A,0.995,48.95,2014.3,43,164,117,74
210,108,3.08,13.0,922.0,25.75,5.0,130,22,38.973128715882716,56,0,14.498125815908518,4.83,0,Médio Risco,O0210AAA0A,0.929,25.68,2014.06,44,124,91,46
2110,171,7.01,40.0,7204.0,21.4,21.65,234,111,46.44248875657679,140,15,32.29349106580754,25.1,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,94,413,301,331
2111,204,10.61,76.0,9212.0,24.88,24.85,422,219,64.94466509121071,211,8,46.707054210723655,37.72,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,406,437,528,537
2111TP,154,11.92,76.0,1836.0,22.08,23.0,350,183,53.36888695895855,195,8,42.74799766477754,17.86,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,376,327,436,469
2112,99,6.27,21.0,4334.0,12.16,24.85,148,54,32.84306116467627,64,3,17.039595831091667,15.38,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,50,134,213,158
2112TP,99,6.04,21.0,833.0,12.32,23.0,148,54,32.84306116467627,64,3,17.039595831091667,13.89,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,50,134,213,158
2114,151,5.47,40.0,3432.0,21.53,24.85,186,65,45.62111040171769,88,8,19.776285022100645,14.16,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,81,265,225,176
2114TP,104,5.59,40.0,581.0,23.08,23.0,123,53,29.748949561287034,62,8,12.900890318675405,5.44,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,66,175,163,127
217,106,3.77,11.0,988.0,16.41,5.0,102,24,27.04141444595854,76,0,17.127822945155046,5.87,0,Médio Risco,O0217AAA0A,1.0,37.15,2017.91,63,173,89,99
22,54,1.38,4.0,415.0,62.13,5.0,25,0,8.885515232803382,22,0,5.640819140843833,1.38,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,7,50,17
220,108,3.49,14.0,1800.0,29.65,5.0,113,32,26.49528259898354,69,0,17.320298889545427,7.98,0,Médio Risco,O0220AAA0A,1.0,39.55,2014.6,67,182,70,86
229,75,4.43,14.0,1262.0,21.75,5.0,79,19,19.72187569559196,52,0,12.266293511967628,4.85,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,46,134,61,85
2303,338,5.35,39.0,10354.0,31.54,24.85,322,154,59.261326022160205,182,17,42.351787601510736,38.38,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,192,466,577,335
2305,195,6.96,39.0,7249.0,17.2,16.6,237,68,73.2682611724756,100,6,28.772691108465825,26.84,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,153,243,460,145
2307,358,4.99,39.0,9052.0,35.5,24.85,331,153,67.93554368103706,163,10,39.201726522167874,31.64,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,176,454,599,315
2307TP,311,4.93,37.0,1534.0,35.69,20.0,277,131,57.74492350394267,138,10,33.096586802433485,12.04,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,155,391,517,275
2309,338,5.07,39.0,8632.0,36.74,24.85,323,141,68.5735614747647,168,13,40.16803473525626,33.52,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,179,437,586,294
2309TP,293,5.01,37.0,1467.0,36.18,23.0,265,128,56.747561306947055,142,13,34.11401917610744,10.44,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,158,371,509,259
2310,279,6.37,39.0,6170.0,17.03,24.85,304,127,66.68047476050027,173,27,36.322802954793474,25.14,2,Alto Risco,E2310AAA0A,0.0,85.5,2011.0,229,414,586,302
232,148,5.42,40.0,3613.0,19.52,5.0,202,81,46.09410663703839,85,7,19.736672259630243,13.47,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,104,242,261,184
2334,389,0.9,7.0,2787.0,75.94,24.85,71,23,17.276463482906173,58,0,14.86753100756375,9.54,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,37,100,92,97
2334TP,315,0.92,7.0,290.0,75.56,23.0,57,19,13.352367366340482,42,0,11.150810719860011,2.98,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,34,75,73,75
2335,471,0.93,10.0,4379.0,72.96,24.85,100,42,22.29242878091979,59,0,18.576077416233844,16.45,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,52,171,101,124
2335TP,331,0.83,5.0,274.0,75.53,23.0,59,13,15.667679805133575,42,0,11.344091228348857,2.81,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,20,85,57,68
2336,290,6.05,39.0,7126.0,24.72,24.85,319,142,67.71122155012065,163,10,40.081958607297395,28.82,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,181,430,561,291
2337,379,1.02,10.0,1108.0,70.51,24.85,89,29,22.00757445365875,53,0,14.968989684474803,7.15,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,51,124,79,84
2338,414,1.02,10.0,3738.0,71.74,24.85,99,44,22.156370684405015,61,0,17.18436895064477,15.13,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,42,160,111,114
2338TP,310,0.96,7.0,298.0,72.58,23.0,63,19,18.219560394048507,44,0,11.908771581473472,2.99,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,26,88,70,60
2339,276,6.13,39.0,4317.0,25.43,24.85,313,133,67.35160053954245,163,10,40.86235289429588,18.89,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,182,426,548,285
2339TP,278,6.07,39.0,2822.0,25.16,20.0,317,133,68.52215491566004,163,10,40.98700748540561,16.94,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,186,428,550,285
2342,144,2.21,12.0,1888.0,43.85,21.65,109,24,29.444863728670914,50,0,14.007179835945626,7.26,1,Baixo Risco,E2342AAA0A,0.0,87.36,2013.0,59,116,89,67
2342TP,106,2.2,12.0,233.0,44.34,17.0,70,13,18.794629425399567,28,0,9.443098085335942,2.71,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,44,74,61,53
2343,145,1.92,12.0,1495.0,48.4,21.65,111,18,32.319830268295476,40,0,12.506230331376809,5.73,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,45,108,83,52
2344,91,3.21,17.0,876.0,32.97,21.65,76,20,18.199947671301015,36,0,10.403455390300428,3.42,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,42,94,83,80
2344TP,91,3.21,17.0,292.0,32.97,17.0,76,20,18.199947671301015,36,0,10.403455390300428,2.43,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,42,94,83,80
2345TP,162,5.11,23.0,828.0,17.9,17.0,194,64,43.35017987549873,93,7,22.976358359806735,9.18,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,81,293,213,226
238,101,5.95,28.0,1803.0,11.88,5.0,132,47,30.612789110808855,57,3,14.115915059641528,7.6,0,Médio Risco,O0238AAA0A,1.0,69.94,2015.84,70,132,226,137
2381,343,4.52,39.0,3104.0,43.15,24.85,282,139,57.89563681232604,149,10,35.02876664619557,15.64,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,169,397,519,278
2381TP,350,4.38,37.0,1532.0,42.57,23.0,293,136,59.72277223814651,153,10,34.790886696108345,18.06,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,168,397,499,272
2383,322,4.8,39.0,3092.0,39.13,24.85,282,125,62.57642945877884,158,15,35.67841469799799,14.92,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,192,391,519,265
239,136,5.8,20.0,2864.0,12.15,5.0,175,56,45.223255711446264,74,6,18.47319836874531,11.33,0,Médio Risco,O0239AAA0A,1.0,66.43,2014.84,97,163,275,138
247,127,4.13,19.0,1453.0,17.61,5.0,114,36,30.658642842637065,51,1,13.61418431242774,7.29,0,Médio Risco,O0247AAA0A,1.0,50.03,2015.91,92,159,121,86
249,148,5.05,20.0,1550.0,15.31,5.0,171,36,49.73932046178355,70,1,19.75020638307137,8.53,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,107,182,249,108
25,148,1.01,5.0,370.0,70.84,5.0,40,2,13.212548148310702,22,0,6.763071080122004,2.01,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,34,45,31
254,140,4.6,19.0,1288.0,22.86,5.0,117,51,25.079872407968907,77,0,17.541668818203593,6.72,0,Médio Risco,O0254AAA0A,0.0,57.02,2011.0,73,192,169,185
2613,59,3.69,23.0,288.0,74.36,16.6,52,13,13.100345324419797,34,0,8.46722153836252,1.94,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,9,91,32,34
2614,48,4.67,23.0,336.0,45.83,16.6,59,11,14.926805546047813,32,0,8.31174740518119,1.77,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,8,81,65,44
265,204,5.73,26.0,7795.0,12.64,5.0,242,114,51.39390365922142,184,7,41.176163605602724,15.02,2,Alto Risco,O0265AAA0A,0.778,101.48,2015.67,85,434,255,368
275,136,4.0,12.0,996.0,12.85,5.0,152,39,39.368829826459944,81,0,18.42001904041566,10.25,0,Médio Risco,O0275AAA0A,1.0,55.67,2013.14,76,215,114,108
277,158,4.51,18.0,2848.0,18.35,5.0,158,45,36.10038912862429,98,2,21.74289822421118,12.4,0,Médio Risco,O0277AAA0A,1.0,105.58,2017.0,66,235,224,221
28,124,0.48,3.0,117.0,88.84,5.0,19,0,6.972736021035618,20,0,5.963658054525288,1.54,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,20,18,10,17
2802,293,0.86,5.0,1388.0,77.99,24.85,48,19,12.472827609304499,38,0,11.646670233857911,5.28,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,9,94,39,66
2802TP,230,0.87,5.0,200.0,77.83,20.0,39,15,10.373960074101289,32,0,9.45776270384909,2.44,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,7,75,31,54
2803,302,1.22,29.0,2936.0,78.23,24.85,81,40,13.439458605875744,49,0,12.966442194696501,10.84,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,12,102,85,92
2803TP,300,1.19,29.0,588.0,78.74,20.0,78,40,12.615183595289334,44,0,12.3320602554856,10.35,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,12,100,83,88
2804,312,0.89,13.0,2494.0,79.74,24.85,61,18,14.08139603468755,32,2,7.851889830674108,8.36,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,49,57,65,57
2804TP,256,0.85,13.0,217.0,80.47,20.0,45,16,10.456258094238748,29,0,6.642937843183979,1.82,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,40,41,48,42
292,182,4.83,21.0,4912.0,12.6,5.0,282,53,78.26602985057711,90,0,28.36993586297941,23.09,0,Médio Risco,O0292AAA0A,0.667,54.59,2013.58,102,250,263,106
296,258,6.94,26.0,13200.0,7.99,5.0,455,154,100.37429949942366,224,15,56.6020944970173,50.79,2,Alto Risco,O0296AAA0A,0.1,91.97,2011.6,190,665,449,319
298,274,6.53,32.0,8893.0,13.23,5.0,381,169,66.46767922044805,198,15,40.22975231112532,36.21,2,Alto Risco,O0298AAA0A,0.0,102.94,2011.0,280,531,503,407
300,280,5.18,39.0,12086.0,24.7,5.0,316,103,75.50654339352381,145,5,34.55336137930282,41.25,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,151,376,468,222
301,201,2.04,14.0,4703.0,56.93,5.0,139,29,40.62312266724575,85,0,18.563590279306723,9.42,1,Baixo Risco,O0301AAA0A,0.8440000000000001,79.78,2014.41,29,187,112,118
302,201,2.01,14.0,3184.0,59.58,5.0,143,34,37.79077740855376,95,0,20.05210603706601,12.21,1,Baixo Risco,O0302AAA0A,0.6859999999999999,88.25,2013.8,30,192,104,111
306,204,10.38,76.0,10494.0,25.02,5.0,422,219,64.94466509121071,211,8,46.707054210723655,40.38,2,Alto Risco,O0306AAA0A,0.0,104.04,2010.0,406,437,528,537
31,199,15.67,87.0,6160.0,23.41,5.0,494,316,63.50553031785799,229,37,57.29196771989413,33.04,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,584,431,1021,733
311,142,5.64,26.0,1602.0,13.38,5.0,217,50,55.36803272303476,120,0,30.4984853508441,16.44,0,Médio Risco,O0311AAA0A,0.778,35.79,2013.78,96,282,231,126
312,162,4.61,26.0,3969.0,15.33,5.0,167,46,37.49984126950533,90,0,21.92460731226677,14.95,0,Médio Risco,O0312AAA0A,0.0,57.89,2011.03,107,237,199,140
313,172,6.74,41.0,5073.0,8.37,5.0,325,43,89.54408331734072,123,2,28.815630822700115,24.54,2,Alto Risco,O0313AAA0A,0.0,60.0,2011.03,163,267,338,130
315,212,2.71,23.0,4903.0,42.41,5.0,152,56,38.43795247507586,67,0,17.172557734083608,14.61,0,Médio Risco,O0315AAA0A,0.2,93.41,2010.2,56,172,160,122
321,141,3.08,17.0,2688.0,37.07,5.0,112,29,28.105244384362894,50,2,13.269707793600288,9.75,0,Médio Risco,O0321AAA0A,1.0,69.02,2014.42,67,133,121,101
323,152,2.16,14.0,1179.0,47.34,5.0,106,22,28.5014619508076,43,2,12.769699189538661,4.76,1,Baixo Risco,O0323AAA0A,0.047,74.83,2013.03,69,114,94,75
324,195,3.99,39.0,4140.0,40.94,5.0,197,66,47.3392015141785,82,0,24.295135792755016,17.66,0,Médio Risco,O0324AAA0A,1.0,71.63,2014.99,108,205,306,140
325,183,1.86,12.0,2688.0,51.21,5.0,131,20,37.9360363921016,45,0,12.816429673088265,9.14,1,Baixo Risco,O0325AAA0A,1.0,69.46,2014.79,58,125,103,58
326,187,5.13,39.0,5442.0,28.93,5.0,201,90,43.33919374291259,101,3,25.964301021522452,20.54,2,Alto Risco,O0326AAA0A,1.0,62.04,2014.92,120,232,339,181
327,154,1.98,12.0,879.0,53.6,5.0,120,14,36.85880394927959,44,0,12.207668651836986,4.53,1,Baixo Risco,O0327AAA0A,0.07400000000000001,63.83,2012.33,58,118,86,45
328,194,4.31,39.0,4909.0,36.87,5.0,195,76,45.024860857509545,94,0,25.78081384128206,19.21,0,Médio Risco,O0328AAA0A,0.10400000000000001,71.45,2012.62,122,213,312,155
329,184,5.01,39.0,5521.0,30.04,5.0,211,78,47.334674695950206,91,3,25.103120655939705,17.39,2,Alto Risco,O0329AAA0A,1.0,56.94,2014.35,123,218,347,165
335,166,9.74,46.0,5562.0,16.81,5.0,286,126,56.87329275302625,126,5,32.67616691195543,22.2,2,Alto Risco,O0335AAA0A,0.062,46.1,2010.5,197,306,520,265
338,106,5.19,21.0,1626.0,14.38,5.0,130,41,34.5949349444326,58,2,15.578634105071925,7.58,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,69,136,178,118
341,179,5.84,40.0,5427.0,18.84,5.0,276,90,62.16069804106435,99,11,24.226849101591903,19.58,2,Alto Risco,O0341AAA0A,0.0,78.63,2010.0,109,342,345,265
342,206,6.54,39.0,8662.0,16.16,5.0,255,73,75.72286564144532,104,6,30.11424502827837,30.73,2,Alto Risco,O0342AAA0A,0.0,61.92,2011.0,154,257,468,154
343,215,3.91,22.0,4921.0,31.03,5.0,168,85,27.880698221768643,93,3,23.416789158481006,19.43,0,Médio Risco,O0343AAA0A,0.0,96.68,2010.0,79,276,235,213
348,181,6.72,79.0,7604.0,25.82,5.0,263,54,70.80893137101252,121,5,29.61488927324677,28.35,2,Alto Risco,O0348AAA0A,0.7809999999999999,82.35,2010.06,142,255,397,153
35,195,15.09,87.0,14547.0,32.47,5.0,447,251,66.15134163416491,179,31,43.692083818533966,48.03,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,446,367,768,647
350,172,5.61,48.0,3647.0,13.23,5.0,185,63,37.16373039864079,63,13,15.675837587126598,14.65,0,Médio Risco,O0350AAA0A,0.5429999999999999,68.36,2013.54,123,179,277,171
353,231,14.9,87.0,12965.0,6.9,5.0,545,370,57.291235929116716,273,32,60.06480497846846,50.59,2,Alto Risco,O0353AAA0A,0.109,95.22,2010.47,471,630,858,871
355,207,9.81,39.0,15222.0,9.15,5.0,359,168,74.12537641436587,184,21,39.961371746776386,54.2,2,Alto Risco,O0355AAA0A,1.0,126.45,2015.0,333,287,699,344
361,243,2.69,23.0,4174.0,41.12,5.0,186,59,48.44830332672234,69,0,20.62462120864284,16.02,0,Médio Risco,O0361AAA0A,0.0,127.85,2010.8,69,205,167,121
362,240,6.66,39.0,7507.0,15.08,5.0,277,142,52.31589032934812,158,9,37.11144106567426,25.27,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,161,382,544,304
